underlying_symbol,quote_datetime,root,expiration,strike,option_type,open,high,low,close,trade_volume,bid_size,bid,ask_size,ask,underlying_bid,underlying_ask,moneyness,implied_vol
^VIX,2021-04-26 11:00:00,VIX,2021-07-21,30.0,C,2.41,2.41,2.38,2.4,190,21716,2.35,17261,2.45,17.74,17.74,-0.5253754047807221,1.5513865723883613
^VIX,2021-04-26 11:00:00,VIX,2021-07-21,50.0,C,0.82,0.82,0.82,0.82,11,6271,0.8,2576,0.85,17.74,17.74,-1.0362010285467127,1.5456681241413688
^VIX,2021-04-26 11:00:00,VIX,2021-07-21,40.0,C,1.34,1.35,1.34,1.35,8,21689,1.3,26075,1.4,17.74,17.74,-0.813057477232503,1.5369023748155926
^VIX,2021-04-26 11:00:00,VIX,2021-07-21,19.0,P,1.3,1.3,1.3,1.3,5,31703,1.25,21592,1.35,17.74,17.74,-0.06861700228500715,0.13823723251264847
^VIX,2021-04-26 11:00:00,VIX,2021-07-21,35.0,C,1.78,1.78,1.78,1.78,1,44639,1.7,7324,1.8,17.74,17.74,-0.6795260846079804,1.5415291334220473
^VIX,2021-04-26 11:00:00,VIX,2021-07-21,14.0,P,0.07,0.07,0.07,0.07,2000,5060,0.05,58739,0.1,17.74,17.74,0.2367646472661748,0.3263389334664192
^VIX,2021-04-26 11:00:00,VIX,2021-07-21,40.0,P,18.0,18.0,18.0,18.0,50,3789,17.9,722,18.0,17.74,17.74,-0.813057477232503,
^VIX,2021-04-26 11:30:00,VIX,2021-07-21,25.0,C,3.41,3.5,3.41,3.45,26,29,3.4,40260,3.5,17.76,17.76,-0.3419270873041767,1.5915903785983918
^VIX,2021-04-26 11:30:00,VIX,2021-07-21,26.0,C,3.16,3.16,3.16,3.16,15,43603,3.1,39229,3.3,17.76,17.76,-0.38114780045745794,1.5761057658679622
^VIX,2021-04-26 11:30:00,VIX,2021-07-21,50.0,C,0.81,0.81,0.81,0.81,150,9482,0.8,2045,0.85,17.76,17.76,-1.035074267864122,1.539333478026162
^VIX,2021-04-26 11:30:00,VIX,2021-07-21,17.0,C,6.9,6.9,6.9,6.9,3,31354,6.8,15969,7.0,17.76,17.76,0.04373539350780811,2.005925077263727
^VIX,2021-04-26 11:30:00,VIX,2021-07-21,40.0,C,1.35,1.35,1.32,1.35,23,22329,1.3,26618,1.4,17.76,17.76,-0.8119307165499121,1.5388586571081424
^VIX,2021-04-26 11:30:00,VIX,2021-07-21,60.0,C,0.55,0.55,0.55,0.55,3,24564,0.5,1490,0.55,17.76,17.76,-1.2173958246580765,1.565972418802587
^VIX,2021-04-26 11:30:00,VIX,2021-07-21,21.0,C,4.69,4.69,4.69,4.69,8,45362,4.6,23894,4.8,17.76,17.76,-0.16757370015939896,1.6898965582330816
^VIX,2021-04-26 11:30:00,VIX,2021-07-21,18.0,C,6.3,6.3,6.3,6.3,2,1401,6.2,675,6.3,17.76,17.76,-0.013423020332140548,1.9148103611570655
^VIX,2021-04-26 11:30:00,VIX,2021-07-21,19.0,C,5.62,5.62,5.62,5.62,8,10604,5.6,424,5.7,17.76,17.76,-0.06749024160241641,1.7978798617113216
^VIX,2021-04-26 12:00:00,VIX,2021-07-21,40.0,C,1.35,1.35,1.35,1.35,13,24625,1.3,27022,1.4,17.79,17.79,-0.8102429524361926,1.5361782263122592
^VIX,2021-04-26 12:00:00,VIX,2021-07-21,17.0,C,7.1,7.1,7.1,7.1,1,16725,6.9,34557,7.1,17.79,17.79,0.04542315762152762,2.06612191095087
^VIX,2021-04-26 12:00:00,VIX,2021-07-21,14.0,P,0.07,0.07,0.07,0.07,1000,8247,0.05,59046,0.1,17.79,17.79,0.23957917206248514,0.3292044003200438
^VIX,2021-04-26 12:00:00,VIX,2021-07-21,80.0,C,0.25,0.25,0.25,0.25,1,38747,0.2,42991,0.3,17.79,17.79,-1.5033901329961379,1.5692494394744854
^VIX,2021-04-26 12:00:00,VIX,2021-07-21,16.0,P,0.32,0.32,0.32,0.32,1000,3547,0.3,48902,0.35,17.79,17.79,0.1060477794379625,0.30022355295798814
^VIX,2021-04-26 12:00:00,VIX,2021-07-21,70.0,C,0.35,0.35,0.35,0.35,50,49350,0.3,37643,0.4,17.79,17.79,-1.3698587403716154,1.554623714276649
^VIX,2021-04-26 12:00:00,VIX,2021-07-21,95.0,C,0.15,0.15,0.15,0.15,239,28275,0.1,40964,0.2,17.79,17.79,-1.6752403899227972,1.5746937761843616
^VIX,2021-04-26 12:00:00,VIX,2021-07-21,35.0,C,1.76,1.76,1.76,1.76,10,28,1.75,117,1.8,17.79,17.79,-0.67671155981167,1.5298526607134826
^VIX,2021-04-26 12:00:00,VIX,2021-07-21,25.0,C,3.45,3.46,3.44,3.44,3,26553,3.4,2695,3.5,17.79,17.79,-0.34023932319045697,1.5990311366137773
^VIX,2021-04-26 12:30:00,VIX,2021-07-21,50.0,C,0.82,0.82,0.82,0.82,1,8690,0.8,3733,0.85,17.93,17.93,-1.0255477178111045,1.5312941435577363
^VIX,2021-04-26 12:30:00,VIX,2021-07-21,37.5,C,1.55,1.55,1.55,1.55,15,15627,1.5,29152,1.6,17.93,17.93,-0.7378656453593236,1.5241320059217363
^VIX,2021-04-26 12:30:00,VIX,2021-07-21,40.0,C,1.35,1.35,1.35,1.35,50,20849,1.3,27955,1.4,17.93,17.93,-0.8024041664968948,1.5237346474288536
^VIX,2021-04-26 12:30:00,VIX,2021-07-21,27.0,P,6.5,6.5,6.5,6.5,1,37351,6.4,43148,6.6,17.93,17.93,-0.4093615783872876,
^VIX,2021-04-26 12:30:00,VIX,2021-07-21,42.5,C,1.2,1.2,1.2,1.2,15,11340,1.15,22,1.2,17.93,17.93,-0.8630287883133296,1.531362447662659
